,Factory,Ulke,Sehir,Tarih,Kurulus_tarihi,Veri_analistci_tecrubesi,Isci_sayisi,Isci__memnuniyeti,Aylik_uretim_miktari,Uretim_hizi,Gunluk_uretilen_miktar,Gunluk_calisma_suresi,Max_uretilen_urun,Fabrika_sayisi,Yonetici_sayisi,Kapasite_durumu,Lojistik,Lojistik_tur_sayisi,Kullanilan_makina,Uretim_cesidi,Fabrika_depo_sayisi,Ham_madde_cesidi,Kesikli_uretim,Surekli_uretim,Esnek_uretim,Ceo_degisimi,Toplam_uretilmis_urun,Populerite,Malzeme_kalitesi,Urunbasi_ortalama_maliyet,Urunbasi_ortalama_kar,Max_fiyat,Min_fiyat,Max_kar,Max_zarar,Aylik_toplanti,Vardiya,Calisanlara_mesai,Mola_suresi,Urun_hata_orani,Satislarin_dusme_orani,Ortaklarla_uyum,Tedarikci_zorluk_yasanmasi,Calisan_tecrubesi,Ustabasilarinin_ise_önemvermesi,Patronlarin_donanimi,Kasada_acik_cikmasi,Malzeme_kaybi,Dogal_afetler,Tehcizat_pahaliligi,Makine_pahaliligi,Reklam_yetersizligi,Musteriye_hitap,Ithalat_ihracat_sorunlari,Globallesme_orani,Maaslarda_kesinti_orani,Sosyal_medyayi_kullanma,Yanlis_marka_ismi,Pazar_payi,Is_sagligi_orani,Musteri_hizmetlerinin_ilgisi,Yanlis_strateji,Sermayenin_tukenmesi,Vergi_usulsuzlugu,Is_yerindetorpil,Ortaklik_sorunlari,Dunya_ekonomisi_cokusleri,Yazilim_gelistirmeleri,Calisma_veduzenli_uretim,Muhasebeci_tecrubesi,Devam_durumu
0,Factory1,Turkiye,Adana,12.05.2020,1980,5,3456,3,340000,5,12000,10,540000,12,15,700000,YES,3,16,7,5,5,YES,YES,YES,4,20000000,4,3,249,349,390,290,90,50,8,3,2,1Saat,0,2,5,3,2,2,3,NO,NO,NO,5,5,NO,5,YES,4,1,YES,NO,5,4,3,NO,NO,YES,NO,YES,NO,4,YES,4,Isliyor
1,Factory2,Turkiye,Istanbul,12.05.2020,1978,3,2700,4,330000,4,14000,8,570000,11,11,670000,YES,3,11,12,4,4,YES,YES,YES,2,20000000,3,5,235,335,312,200,0,70,5,2,4,1Saat,1,1,4,4,3,3,5,NO,NO,NO,3,3,YES,5,YES,5,2,YES,NO,4,5,4,NO,NO,NO,NO,YES,YES,5,YES,5,Isliyor
2,Factory3,Turkiye,Giresun,12.05.2020,1989,4,2010,5,230000,2,11000,8,240000,15,9,300000,YES,3,12,17,3,6,YES,YES,YES,5,30000000,2,4,270,370,320,210,10,30,6,3,5,45DK,2,2,3,2,4,3,4,NO,NO,NO,1,2,YES,5,YES,3,1,YES,NO,5,5,5,NO,NO,NO,NO,NO,YES,5,YES,5,Isliyor
3,Factory4,Turkiye,Sakarya,12.05.2020,1969,2,4002,1,540000,3,17000,8,160000,10,21,200000,YES,3,14,26,6,7,YES,YES,YES,1,10000000,5,3,247,347,400,300,100,0,4,2,3,45DK,1,1,5,3,3,5,2,YES,NO,NO,3,4,YES,5,YES,2,2,YES,NO,4,5,5,NO,NO,NO,NO,NO,YES,5,YES,5,Isliyor
4,Factory5,Turkiye,Ankara,12.05.2020,2000,3,3578,2,570000,4,12000,8,115000,10,16,150000,YES,3,13,12,10,3,YES,YES,YES,1,15000000,4,4,234,334,350,250,50,20,3,3,2,45DK,2,2,4,3,2,1,3,YES,NO,YES,4,3,YES,5,YES,5,3,YES,YES,4,5,5,YES,YES,YES,NO,NO,NO,5,YES,5,Isliyor
5,Factory6,Turkiye,Trabzon,12.05.2020,1988,4,1010,3,240000,1,9000,8,125000,10,4,150000,YES,3,15,34,11,4,YES,YES,YES,1,18000000,5,5,320,420,368,240,40,10,5,2,4,1SAAT,1,1,3,2,3,5,4,NO,NO,NO,5,2,YES,5,NO,1,1,YES,YES,4,5,5,NO,NO,NO,NO,NO,NO,5,YES,5,Isliyor
6,Factory7,Turkiye,Rize,12.05.2020,1999,2,2657,4,160000,5,6000,8,390000,10,3,450000,YES,3,18,28,5,6,YES,YES,YES,0,12000000,1,2,256,356,370,270,70,42,6,3,5,1SAAT,2,2,4,1,4,1,3,NO,NO,YES,3,4,YES,5,YES,3,2,YES,NO,4,3,5,NO,NO,NO,NO,YES,NO,3,YES,3,Isliyor
7,Factory8,Turkiye,Gumushane,12.05.2020,1996,4,2978,2,115000,4,15000,8,376000,12,5,420000,YES,3,17,16,6,8,YES,YES,YES,3,11000000,3,4,278,378,359,250,50,38,3,2,2,1SAAT,1,2,5,1,4,5,5,NO,NO,NO,2,5,YES,5,YES,4,1,YES,YES,4,2,5,NO,NO,NO,NO,NO,NO,2,YES,2,Isliyor
8,Factory9,Turkiye,Malatya,12.05.2020,1995,5,3224,3,125000,3,19800,8,346000,14,11,400000,YES,3,14,17,1,9,YES,YES,YES,6,24000000,2,5,256,356,355,252,52,12,2,3,3,1SAAT,2,2,3,1,5,2,3,NO,NO,NO,5,4,YES,5,YES,5,0,NO,NO,5,3,5,NO,NO,NO,NO,YES,NO,3,NO,3,Isliyor
9,Factory10,Turkiye,Hatay,12.05.2020,1993,4,3548,4,390000,5,12600,8,288000,15,12,340000,YES,3,13,28,12,5,YES,YES,YES,5,12300000,4,2,235,335,342,263,63,33,4,2,4,1SAAT,2,2,0,1,3,2,1,NO,NO,YES,1,3,YES,5,NO,2,0,YES,NO,5,4,5,NO,NO,NO,NO,NO,NO,4,YES,4,Isliyor
